barcode,CIL56,MS,modulator,cell,mother,available
05061KS001,0,0.5,DMSO,HT1080,MS384009
05061KS002,0,0.5,DMSO,HT1080,MS384009
05061KS003,0,1,DMSO,HT1080,MS384009
05061KS004,0,1,DMSO,HT1080,MS384009
05061KS005,0,2,DMSO,HT1080,MS384009
05061KS006,0,2,DMSO,HT1080,MS384009
05061KS007,0,4,DMSO,HT1080,MS384009
05061KS008,0,4,DMSO,HT1080,MS384009
05061KS009,0.31,0.5,DMSO,HT1080,MS384009
05061KS010,0.31,0.5,DMSO,HT1080,MS384009
05061KS011,0.31,1,DMSO,HT1080,MS384009
05061KS012,0.31,1,DMSO,HT1080,MS384009
05061KS013,0.31,2,DMSO,HT1080,MS384009
05061KS014,0.31,2,DMSO,HT1080,MS384009
05061KS015,0.31,4,DMSO,HT1080,MS384009
05061KS016,0.31,4,DMSO,HT1080,MS384009
05061KS017,0.63,0.5,DMSO,HT1080,MS384009
05061KS018,0.63,0.5,DMSO,HT1080,MS384009
05061KS019,0.63,1,DMSO,HT1080,MS384009
05061KS020,0.63,1,DMSO,HT1080,MS384009
05061KS021,0.63,2,DMSO,HT1080,MS384009
05061KS022,0.63,2,DMSO,HT1080,MS384009
05061KS023,0.63,4,DMSO,HT1080,MS384009
05061KS024,0.63,4,DMSO,HT1080,MS384009
05061KS025,1.25,0.5,DMSO,HT1080,MS384009
05061KS026,1.25,0.5,DMSO,HT1080,MS384009
05061KS027,1.25,1,DMSO,HT1080,MS384009
05061KS028,1.25,1,DMSO,HT1080,MS384009
05061KS029,1.25,2,DMSO,HT1080,MS384009
05061KS030,1.25,2,DMSO,HT1080,MS384009
05061KS031,1.25,4,DMSO,HT1080,MS384009
05061KS032,1.25,4,DMSO,HT1080,MS384009
05061KS033,0,0.5,ATOC,HT1080,MS384009
05061KS034,0,0.5,ATOC,HT1080,MS384009
05061KS035,0,1,ATOC,HT1080,MS384009
05061KS036,0,1,ATOC,HT1080,MS384009
05061KS037,0,2,ATOC,HT1080,MS384009
05061KS038,0,2,ATOC,HT1080,MS384009
05061KS039,0,4,ATOC,HT1080,MS384009
05061KS040,0,4,ATOC,HT1080,MS384009
05061KS041,1.25,0.5,ATOC,HT1080,MS384009
05061KS042,1.25,0.5,ATOC,HT1080,MS384009
05061KS043,1.25,1,ATOC,HT1080,MS384009
05061KS044,1.25,1,ATOC,HT1080,MS384009
05061KS045,1.25,2,ATOC,HT1080,MS384009
05061KS046,1.25,2,ATOC,HT1080,MS384009
05061KS047,1.25,4,ATOC,HT1080,MS384009
05061KS048,1.25,4,ATOC,HT1080,MS384009
05061KS049,2.5,0.5,ATOC,HT1080,MS384009
05061KS050,2.5,0.5,ATOC,HT1080,MS384009
05061KS051,2.5,1,ATOC,HT1080,MS384009
05061KS052,2.5,1,ATOC,HT1080,MS384009
05061KS053,2.5,2,ATOC,HT1080,MS384009
05061KS054,2.5,2,ATOC,HT1080,MS384009
05061KS055,2.5,4,ATOC,HT1080,MS384009
05061KS056,2.5,4,ATOC,HT1080,MS384009
05061KS057,0,4,DMSO,media,MS384009
06061KS001,0,0.5,DMSO,HT1080,MS384011
06061KS002,0,0.5,DMSO,HT1080,MS384011
06061KS003,0,1,DMSO,HT1080,MS384011
06061KS004,0,1,DMSO,HT1080,MS384011
06061KS005,0,2,DMSO,HT1080,MS384011
06061KS006,0,2,DMSO,HT1080,MS384011
06061KS007,0,4,DMSO,HT1080,MS384011
06061KS008,0,4,DMSO,HT1080,MS384011
06061KS009,0.31,0.5,DMSO,HT1080,MS384011
06061KS010,0.31,0.5,DMSO,HT1080,MS384011
06061KS011,0.31,1,DMSO,HT1080,MS384011
06061KS012,0.31,1,DMSO,HT1080,MS384011
06061KS013,0.31,2,DMSO,HT1080,MS384011
06061KS014,0.31,2,DMSO,HT1080,MS384011
06061KS015,0.31,4,DMSO,HT1080,MS384011
06061KS016,0.31,4,DMSO,HT1080,MS384011
06061KS017,0.63,0.5,DMSO,HT1080,MS384011
06061KS018,0.63,0.5,DMSO,HT1080,MS384011
06061KS019,0.63,1,DMSO,HT1080,MS384011
06061KS020,0.63,1,DMSO,HT1080,MS384011
06061KS021,0.63,2,DMSO,HT1080,MS384011
06061KS022,0.63,2,DMSO,HT1080,MS384011
06061KS023,0.63,4,DMSO,HT1080,MS384011
06061KS024,0.63,4,DMSO,HT1080,MS384011
06061KS025,1.25,0.5,DMSO,HT1080,MS384011
06061KS026,1.25,0.5,DMSO,HT1080,MS384011
06061KS027,1.25,1,DMSO,HT1080,MS384011
06061KS028,1.25,1,DMSO,HT1080,MS384011
06061KS029,1.25,2,DMSO,HT1080,MS384011
06061KS030,1.25,2,DMSO,HT1080,MS384011
06061KS031,1.25,4,DMSO,HT1080,MS384011
06061KS032,1.25,4,DMSO,HT1080,MS384011
06061KS033,0,0.5,ATOC,HT1080,MS384011
06061KS034,0,0.5,ATOC,HT1080,MS384011
06061KS035,0,1,ATOC,HT1080,MS384011
06061KS036,0,1,ATOC,HT1080,MS384011
06061KS037,0,2,ATOC,HT1080,MS384011
06061KS038,0,2,ATOC,HT1080,MS384011
06061KS039,0,4,ATOC,HT1080,MS384011
06061KS040,0,4,ATOC,HT1080,MS384011
06061KS041,1.25,0.5,ATOC,HT1080,MS384011
06061KS042,1.25,0.5,ATOC,HT1080,MS384011
06061KS043,1.25,1,ATOC,HT1080,MS384011
06061KS044,1.25,1,ATOC,HT1080,MS384011
06061KS045,1.25,2,ATOC,HT1080,MS384011
06061KS046,1.25,2,ATOC,HT1080,MS384011
06061KS047,1.25,4,ATOC,HT1080,MS384011
06061KS048,1.25,4,ATOC,HT1080,MS384011
06061KS049,2.5,0.5,ATOC,HT1080,MS384011
06061KS050,2.5,0.5,ATOC,HT1080,MS384011
06061KS051,2.5,1,ATOC,HT1080,MS384011
06061KS052,2.5,1,ATOC,HT1080,MS384011
06061KS053,2.5,2,ATOC,HT1080,MS384011
06061KS054,2.5,2,ATOC,HT1080,MS384011
06061KS055,2.5,4,ATOC,HT1080,MS384011
06061KS056,2.5,4,ATOC,HT1080,MS384011
06061KS057,0,4,DMSO,media,MS384011
10061KS001,0,0.5,DMSO,HT1080,MS384012
10061KS002,0,0.5,DMSO,HT1080,MS384012
10061KS003,0,1,DMSO,HT1080,MS384012
10061KS004,0,1,DMSO,HT1080,MS384012
10061KS005,0,2,DMSO,HT1080,MS384012
10061KS006,0,2,DMSO,HT1080,MS384012
10061KS007,0,4,DMSO,HT1080,MS384012
10061KS008,0,4,DMSO,HT1080,MS384012
10061KS009,0.31,0.5,DMSO,HT1080,MS384012
10061KS010,0.31,0.5,DMSO,HT1080,MS384012
10061KS011,0.31,1,DMSO,HT1080,MS384012
10061KS012,0.31,1,DMSO,HT1080,MS384012
10061KS013,0.31,2,DMSO,HT1080,MS384012
10061KS014,0.31,2,DMSO,HT1080,MS384012
10061KS015,0.31,4,DMSO,HT1080,MS384012
10061KS016,0.31,4,DMSO,HT1080,MS384012
10061KS017,0.63,0.5,DMSO,HT1080,MS384012
10061KS018,0.63,0.5,DMSO,HT1080,MS384012
10061KS019,0.63,1,DMSO,HT1080,MS384012
10061KS020,0.63,1,DMSO,HT1080,MS384012
10061KS021,0.63,2,DMSO,HT1080,MS384012
10061KS022,0.63,2,DMSO,HT1080,MS384012
10061KS023,0.63,4,DMSO,HT1080,MS384012
10061KS024,0.63,4,DMSO,HT1080,MS384012
10061KS025,1.25,0.5,DMSO,HT1080,MS384012
10061KS026,1.25,0.5,DMSO,HT1080,MS384012
10061KS027,1.25,1,DMSO,HT1080,MS384012
10061KS028,1.25,1,DMSO,HT1080,MS384012
10061KS029,1.25,2,DMSO,HT1080,MS384012
10061KS030,1.25,2,DMSO,HT1080,MS384012
10061KS031,1.25,4,DMSO,HT1080,MS384012
10061KS032,1.25,4,DMSO,HT1080,MS384012
10061KS033,0,0.5,ATOC,HT1080,MS384012
10061KS034,0,0.5,ATOC,HT1080,MS384012
10061KS035,0,1,ATOC,HT1080,MS384012
10061KS036,0,1,ATOC,HT1080,MS384012
10061KS037,0,2,ATOC,HT1080,MS384012
10061KS038,0,2,ATOC,HT1080,MS384012
10061KS039,0,4,ATOC,HT1080,MS384012
10061KS040,0,4,ATOC,HT1080,MS384012
10061KS041,1.25,0.5,ATOC,HT1080,MS384012
10061KS042,1.25,0.5,ATOC,HT1080,MS384012
10061KS043,1.25,1,ATOC,HT1080,MS384012
10061KS044,1.25,1,ATOC,HT1080,MS384012
10061KS045,1.25,2,ATOC,HT1080,MS384012
10061KS046,1.25,2,ATOC,HT1080,MS384012
10061KS047,1.25,4,ATOC,HT1080,MS384012
10061KS048,1.25,4,ATOC,HT1080,MS384012
10061KS049,2.5,0.5,ATOC,HT1080,MS384012
10061KS050,2.5,0.5,ATOC,HT1080,MS384012
10061KS051,2.5,1,ATOC,HT1080,MS384012
10061KS052,2.5,1,ATOC,HT1080,MS384012
10061KS053,2.5,2,ATOC,HT1080,MS384012
10061KS054,2.5,2,ATOC,HT1080,MS384012
10061KS055,2.5,4,ATOC,HT1080,MS384012
10061KS056,2.5,4,ATOC,HT1080,MS384012
10061KS057,0,4,DMSO,media,MS384012
12061KS001,0,0.5,DMSO,HT1080,MS384010
12061KS002,0,0.5,DMSO,HT1080,MS384010
12061KS003,0,1,DMSO,HT1080,MS384010
12061KS004,0,1,DMSO,HT1080,MS384010
12061KS005,0,2,DMSO,HT1080,MS384010
12061KS006,0,2,DMSO,HT1080,MS384010
12061KS007,0,4,DMSO,HT1080,MS384010
12061KS008,0,4,DMSO,HT1080,MS384010
12061KS009,0.31,0.5,DMSO,HT1080,MS384010
12061KS010,0.31,0.5,DMSO,HT1080,MS384010
12061KS011,0.31,1,DMSO,HT1080,MS384010
12061KS012,0.31,1,DMSO,HT1080,MS384010
12061KS013,0.31,2,DMSO,HT1080,MS384010
12061KS014,0.31,2,DMSO,HT1080,MS384010
12061KS015,0.31,4,DMSO,HT1080,MS384010
12061KS016,0.31,4,DMSO,HT1080,MS384010
12061KS017,0.63,0.5,DMSO,HT1080,MS384010
12061KS018,0.63,0.5,DMSO,HT1080,MS384010
12061KS019,0.63,1,DMSO,HT1080,MS384010
12061KS020,0.63,1,DMSO,HT1080,MS384010
12061KS021,0.63,2,DMSO,HT1080,MS384010
12061KS022,0.63,2,DMSO,HT1080,MS384010
12061KS023,0.63,4,DMSO,HT1080,MS384010
12061KS024,0.63,4,DMSO,HT1080,MS384010
12061KS025,1.25,0.5,DMSO,HT1080,MS384010
12061KS026,1.25,0.5,DMSO,HT1080,MS384010
12061KS027,1.25,1,DMSO,HT1080,MS384010
12061KS028,1.25,1,DMSO,HT1080,MS384010
12061KS029,1.25,2,DMSO,HT1080,MS384010
12061KS030,1.25,2,DMSO,HT1080,MS384010
12061KS031,1.25,4,DMSO,HT1080,MS384010
12061KS032,1.25,4,DMSO,HT1080,MS384010
12061KS033,0,0.5,ATOC,HT1080,MS384010
12061KS034,0,0.5,ATOC,HT1080,MS384010
12061KS035,0,1,ATOC,HT1080,MS384010
12061KS036,0,1,ATOC,HT1080,MS384010
12061KS037,0,2,ATOC,HT1080,MS384010
12061KS038,0,2,ATOC,HT1080,MS384010
12061KS039,0,4,ATOC,HT1080,MS384010
12061KS040,0,4,ATOC,HT1080,MS384010
12061KS041,1.25,0.5,ATOC,HT1080,MS384010
12061KS042,1.25,0.5,ATOC,HT1080,MS384010
12061KS043,1.25,1,ATOC,HT1080,MS384010
12061KS044,1.25,1,ATOC,HT1080,MS384010
12061KS045,1.25,2,ATOC,HT1080,MS384010
12061KS046,1.25,2,ATOC,HT1080,MS384010
12061KS047,1.25,4,ATOC,HT1080,MS384010
12061KS048,1.25,4,ATOC,HT1080,MS384010
12061KS049,2.5,0.5,ATOC,HT1080,MS384010
12061KS050,2.5,0.5,ATOC,HT1080,MS384010
12061KS051,2.5,1,ATOC,HT1080,MS384010
12061KS052,2.5,1,ATOC,HT1080,MS384010
12061KS053,2.5,2,ATOC,HT1080,MS384010
12061KS054,2.5,2,ATOC,HT1080,MS384010
12061KS055,2.5,4,ATOC,HT1080,MS384010
12061KS056,2.5,4,ATOC,HT1080,MS384010
12061KS057,0,4,DMSO,media,MS384010
